energy,flux
0,0
0.02,48.934
0.04,193.46
0.06,427.888
0.08,747.666
0.1,1148.811
0.12,1626.771
0.14,2176.425
0.16,2794.928
0.18,3477.728
0.2,4220.273
0.22,5018.011
0.24,5867.528
0.26,6762.565
0.28,7697.432
0.3,8660.18
0.32,9626.911
0.34,10610.712
0.36,11795.37
0.38,13030.669
0.4,14313.764
0.42,15637.827
0.44,17011.393
0.46,18456.653
0.48,19948.002
0.5,21482.595
0.52,23050.759
0.54,24672.978
0.56,26369.167
0.58,28110.307
0.6,29893.553
0.62,31713.784
0.64,33584.656
0.66,35508.445
0.68,37473.202
0.7,39477.789
0.72,41518.792
0.74,43604.177
0.76,45732.237
0.78,47897.282
0.8,50097.036
0.82,52326.378
0.84,54604.654
0.86,56921.053
0.88,59269.885
0.9,61650.012
0.92,64051.192
0.94,66511.548
0.96,69005.475
0.98,71529.559
1,74081.524
1.02,76653.404
1.04,79281.615
1.06,81938.276
1.08,84622.818
1.1,87332.396
1.12,90063.596
1.14,92842.592
1.16,95647.193
1.18,98477.968
1.2,101331.503
1.22,104206.66
1.24,107120.509
1.26,110057.687
1.28,113017.625
1.3,115998.616
1.32,119000.66
1.34,122032.861
1.36,125086.115
1.38,128158.146
1.4,131247.247
1.42,134356.832
1.44,137498.281
1.46,140658.507
1.48,143835.803
1.5,147026.755
1.52,150238.76
1.54,153476.939
1.56,156731.05
1.58,159999.955
1.6,163281.947
1.62,166582.147
1.64,169902.831
1.66,173237.74
1.68,176584.598
1.7,179942.267
1.72,183317.006
1.74,186707.677
1.76,190108.59
1.78,193519.745
1.8,196935.452
1.82,200374.488
1.84,203827.18
1.86,207288.976
1.88,210758.169
1.9,214230.207
1.92,217725.005
1.94,221228.338
1.96,224738.499
1.98,228254.35
2,231770.77
2.02,235310.519
2.04,238855.958
2.06,242405.949
2.08,245959.923
2.1,249513.897
2.12,253087.217
2.14,256663.951
2.16,260244.099
2.18,263824.816
2.2,267406.671
2.22,271003.889
2.24,274602.814
2.26,278203.446
2.28,281802.94
2.3,285403.003
2.32,289015.015
2.34,292627.027
2.36,296238.47
2.38,299847.068
2.4,303456.235
2.42,307076.213
2.44,310694.484
2.46,314310.479
2.48,317921.353
2.5,321533.365
2.52,325151.636
2.54,328767.062
2.56,332377.367
2.58,335980.844
2.6,339587.166
2.62,343196.902
2.64,346800.948
2.66,350399.304
2.68,353988.556
2.7,357581.791
2.72,361174.457
2.74,364760.295
2.76,368339.305
2.78,371905.797
2.8,375479.117
2.82,379048.454
2.84,382609.825
2.86,386161.523
2.88,389698.996
2.9,393246.711
2.92,396785.891
2.94,400315.967
2.96,403835.801
2.98,407341.979
3,410852.709
3.02,414353.766
3.04,417844.012
3.06,421322.309
3.08,424788.088
3.1,428255.574
3.12,431711.68
3.14,435156.406
3.16,438587.476
3.18,442005.459
3.2,445424.011
3.22,448830.614
3.24,452224.13
3.26,455602.283
3.28,458969.056
3.3,462331.846
3.32,465680.98
3.34,469015.889
