cosphi,flux
-1.000000,18.607767
-0.990000,11.502639
-0.980000,8.347420
-0.970000,6.108000
-0.960000,4.910812
-0.950000,3.974189
-0.940000,3.213994
-0.930000,2.817434
-0.920000,2.469222
-0.910000,2.183443
-0.900000,1.906823
-0.890000,1.788240
-0.880000,1.549093
-0.870000,1.437925
-0.860000,1.335954
-0.850000,1.248490
-0.840000,1.077070
-0.830000,1.003922
-0.820000,1.009391
-0.810000,0.933270
-0.800000,0.861574
-0.790000,0.791749
-0.780000,0.730395
-0.770000,0.740404
-0.760000,0.682193
-0.750000,0.624425
-0.740000,0.631637
-0.730000,0.579762
-0.720000,0.583945
-0.710000,0.538458
-0.700000,0.539478
-0.690000,0.491307
-0.680000,0.497891
-0.670000,0.457247
-0.660000,0.462175
-0.650000,0.423635
-0.640000,0.424816
-0.630000,0.425369
-0.620000,0.385209
-0.610000,0.386370
-0.600000,0.387751
-0.590000,0.353173
-0.580000,0.355523
-0.570000,0.358383
-0.560000,0.324138
-0.550000,0.325678
-0.540000,0.327929
-0.530000,0.295358
-0.520000,0.296184
-0.510000,0.298983
-0.500000,0.304835
-0.490000,0.307873
-0.480000,0.279059
-0.470000,0.280528
-0.460000,0.282370
-0.450000,0.282952
-0.440000,0.283903
-0.430000,0.258201
-0.420000,0.260351
-0.410000,0.261887
-0.400000,0.262170
-0.390000,0.262021
-0.380000,0.264603
-0.370000,0.239818
-0.360000,0.241931
-0.350000,0.243399
-0.340000,0.243820
-0.330000,0.246606
-0.320000,0.247412
-0.310000,0.247921
-0.300000,0.248812
-0.290000,0.230221
-0.280000,0.231746
-0.270000,0.233329
-0.260000,0.234669
-0.250000,0.235806
-0.240000,0.237119
-0.230000,0.240109
-0.220000,0.241752
-0.210000,0.242993
-0.200000,0.243166
-0.190000,0.244028
-0.180000,0.246259
-0.170000,0.227438
-0.160000,0.229111
-0.150000,0.230287
-0.140000,0.231161
-0.130000,0.231601
-0.120000,0.233632
-0.110000,0.236599
-0.100000,0.239086
-0.090000,0.239973
-0.080000,0.241571
-0.070000,0.241845
-0.060000,0.243284
-0.050000,0.246780
-0.040000,0.249567
-0.030000,0.251179
-0.020000,0.253362
-0.010000,0.253913
0.000000,0.255644
0.010000,0.257606
0.020000,0.259592
0.030000,0.260860
0.040000,0.264612
0.050000,0.265476
0.060000,0.267489
0.070000,0.270169
0.080000,0.270665
0.090000,0.274456
0.100000,0.276503
0.110000,0.277301
0.120000,0.279429
0.130000,0.282243
0.140000,0.283485
0.150000,0.285190
0.160000,0.289037
0.170000,0.291029
0.180000,0.294309
0.190000,0.296774
0.200000,0.298488
0.210000,0.302243
0.220000,0.303682
0.230000,0.307575
0.240000,0.308862
0.250000,0.312038
0.260000,0.314602
0.270000,0.315835
0.280000,0.318522
0.290000,0.319981
0.300000,0.321776
0.310000,0.324432
0.320000,0.329880
0.330000,0.333567
0.340000,0.336857
0.350000,0.341223
0.360000,0.344094
0.370000,0.346340
0.380000,0.348103
0.390000,0.349441
0.400000,0.350399
0.410000,0.357766
0.420000,0.362734
0.430000,0.366219
0.440000,0.369696
0.450000,0.371766
0.460000,0.372783
0.470000,0.374999
0.480000,0.382234
0.490000,0.387204
0.500000,0.389234
0.510000,0.391941
0.520000,0.393563
0.530000,0.401639
0.540000,0.406672
0.550000,0.410000
0.560000,0.412816
0.570000,0.417692
0.580000,0.423540
0.590000,0.427148
0.600000,0.428754
0.610000,0.436123
0.620000,0.439819
0.630000,0.443162
0.640000,0.448533
0.650000,0.452464
0.660000,0.456863
0.670000,0.462964
0.680000,0.469196
0.690000,0.474675
0.700000,0.481338
0.710000,0.484489
0.720000,0.490929
0.730000,0.494901
0.740000,0.500402
0.750000,0.505505
0.760000,0.514213
0.770000,0.520037
0.780000,0.526707
0.790000,0.531568
0.800000,0.536043
0.810000,0.541709
0.820000,0.551237
0.830000,0.558532
0.840000,0.565581
0.850000,0.571770
0.860000,0.578723
0.870000,0.588644
0.880000,0.594926
0.890000,0.601245
0.900000,0.610412
0.910000,0.617913
0.920000,0.623252
0.930000,0.633693
0.940000,0.640001
0.950000,0.652289
0.960000,0.659801
0.970000,0.668984
0.980000,0.678150
0.990000,0.688080
1.000000,0.697005
