cosphi,flux
-1.000000,76.203556
-0.990000,77.439204
-0.980000,78.265854
-0.970000,78.501036
-0.960000,78.817298
-0.950000,79.605239
-0.940000,79.825463
-0.930000,79.856095
-0.920000,80.141129
-0.910000,80.378656
-0.900000,81.316986
-0.890000,81.804681
-0.880000,82.638674
-0.870000,83.412814
-0.860000,84.063119
-0.850000,85.287164
-0.840000,85.643434
-0.830000,86.281123
-0.820000,86.469352
-0.810000,87.041511
-0.800000,88.022392
-0.790000,89.225621
-0.780000,89.607240
-0.770000,89.728340
-0.760000,89.916855
-0.750000,90.836731
-0.740000,91.877281
-0.730000,92.737915
-0.720000,93.080899
-0.710000,93.822741
-0.700000,94.115916
-0.690000,94.354943
-0.680000,94.654764
-0.670000,94.999338
-0.660000,96.024783
-0.650000,96.903200
-0.640000,97.903557
-0.630000,98.888361
-0.620000,99.586657
-0.610000,100.024709
-0.600000,100.147561
-0.590000,100.728430
-0.580000,102.456824
-0.570000,103.678000
-0.560000,104.212744
-0.550000,104.668487
-0.540000,106.088438
-0.530000,107.616307
-0.520000,108.301709
-0.510000,109.269647
-0.500000,109.548254
-0.490000,109.909569
-0.480000,110.475811
-0.470000,111.140631
-0.460000,112.300932
-0.450000,113.609212
-0.440000,114.795276
-0.430000,115.734035
-0.420000,115.897802
-0.410000,116.180315
-0.400000,117.743198
-0.390000,118.838393
-0.380000,119.599586
-0.370000,120.404620
-0.360000,121.561324
-0.350000,123.473561
-0.340000,124.434173
-0.330000,125.037574
-0.320000,125.664473
-0.310000,126.650090
-0.300000,128.223677
-0.290000,129.183300
-0.280000,131.094108
-0.270000,132.421619
-0.260000,132.832461
-0.250000,134.687430
-0.240000,135.725198
-0.230000,136.031047
-0.220000,136.720399
-0.210000,138.214139
-0.200000,140.920553
-0.190000,141.968561
-0.180000,142.439653
-0.170000,143.673683
-0.160000,145.415218
-0.150000,146.150300
-0.140000,147.298512
-0.130000,148.593345
-0.120000,151.366341
-0.110000,153.063512
-0.100000,153.571514
-0.090000,154.459473
-0.080000,156.889505
-0.070000,157.926633
-0.060000,159.102160
-0.050000,160.559658
-0.040000,163.334519
-0.030000,165.210074
-0.020000,166.014109
-0.010000,167.705404
0.000000,170.181325
0.010000,170.790238
0.020000,172.797172
0.030000,174.917461
0.040000,176.389881
0.050000,178.420168
0.060000,179.729396
0.070000,183.058661
0.080000,184.168315
0.090000,185.620430
0.100000,187.510578
0.110000,190.315313
0.120000,192.116388
0.130000,193.670731
0.140000,196.420157
0.150000,198.334452
0.160000,200.644930
0.170000,202.293689
0.180000,205.364051
0.190000,207.437217
0.200000,209.692069
0.210000,212.285926
0.220000,215.294204
0.230000,217.005224
0.240000,220.526102
0.250000,223.199681
0.260000,226.094805
0.270000,228.758967
0.280000,231.479939
0.290000,234.353653
0.300000,237.183987
0.310000,239.652380
0.320000,242.777031
0.330000,245.429712
0.340000,247.546344
0.350000,250.690963
0.360000,255.183593
0.370000,259.160256
0.380000,262.721800
0.390000,266.658099
0.400000,270.713047
0.410000,274.291077
0.420000,277.585872
0.430000,280.634872
0.440000,283.414042
0.450000,286.903888
0.460000,292.752150
0.470000,298.119389
0.480000,302.296206
0.490000,307.018504
0.500000,310.443567
0.510000,313.392572
0.520000,317.521311
0.530000,324.805696
0.540000,330.867786
0.550000,335.421129
0.560000,339.290764
0.570000,342.070458
0.580000,350.233263
0.590000,357.908786
0.600000,363.030385
0.610000,366.569804
0.620000,373.163302
0.630000,382.822593
0.640000,388.130456
0.650000,391.665338
0.660000,401.590648
0.670000,409.686037
0.680000,413.400602
0.690000,422.566616
0.700000,431.304607
0.710000,434.389892
0.720000,447.223653
0.730000,453.657370
0.740000,463.900934
0.750000,472.281312
0.760000,482.700497
0.770000,490.872101
0.780000,502.139504
0.790000,511.063144
0.800000,520.889182
0.810000,532.405993
0.820000,543.243431
0.830000,556.060774
0.840000,569.024224
0.850000,580.489561
0.860000,592.710392
0.870000,606.158880
0.880000,621.530057
0.890000,636.491456
0.900000,649.306777
0.910000,665.107323
0.920000,683.567137
0.930000,699.896384
0.940000,717.179166
0.950000,736.055848
0.960000,754.548700
0.970000,773.296909
0.980000,794.336423
0.990000,814.197660
1.000000,836.367391
