cosphi,flux
-1.000000,6184.986221
-0.990000,6181.198689
-0.980000,6174.278500
-0.970000,6259.732103
-0.960000,6294.351650
-0.950000,6302.030472
-0.940000,6300.131808
-0.930000,6350.174208
-0.920000,6396.712866
-0.910000,6524.806155
-0.900000,6580.733468
-0.890000,6641.896586
-0.880000,6668.870150
-0.870000,6675.796780
-0.860000,6682.343676
-0.850000,6721.846905
-0.840000,6777.837895
-0.830000,6852.887164
-0.820000,6887.068701
-0.810000,6893.367730
-0.800000,6900.853892
-0.790000,6895.781551
-0.780000,6941.468110
-0.770000,7034.849343
-0.760000,7064.263731
-0.750000,7073.494689
-0.740000,7152.976066
-0.730000,7186.862271
-0.720000,7237.746150
-0.710000,7312.771742
-0.700000,7326.333504
-0.690000,7325.807790
-0.680000,7424.451924
-0.670000,7501.740220
-0.660000,7582.998502
-0.650000,7674.026174
-0.640000,7695.868784
-0.630000,7705.930723
-0.620000,7708.523146
-0.610000,7733.250482
-0.600000,7762.631135
-0.590000,7823.784245
-0.580000,7878.968109
-0.570000,7945.403011
-0.560000,7973.119404
-0.550000,8015.833547
-0.540000,8071.246346
-0.530000,8089.219899
-0.520000,8114.227337
-0.510000,8185.557604
-0.500000,8348.691074
-0.490000,8431.666020
-0.480000,8485.458823
-0.470000,8526.588867
-0.460000,8588.762912
-0.450000,8608.169226
-0.440000,8637.724483
-0.430000,8734.587195
-0.420000,8814.194532
-0.410000,8877.850812
-0.400000,8890.681506
-0.390000,8885.788374
-0.380000,8978.698091
-0.370000,9039.860674
-0.360000,9130.197121
-0.350000,9190.157073
-0.340000,9210.871443
-0.330000,9321.667874
-0.320000,9352.987219
-0.310000,9376.042720
-0.300000,9416.648709
-0.290000,9635.142945
-0.280000,9700.707139
-0.270000,9746.463315
-0.260000,9804.281605
-0.250000,9862.645793
-0.240000,9921.570468
-0.230000,10048.785374
-0.220000,10125.496533
-0.210000,10192.631745
-0.200000,10203.257709
-0.190000,10248.986071
-0.180000,10350.843436
-0.170000,10475.707076
-0.160000,10551.598332
-0.150000,10620.523489
-0.140000,10678.124358
-0.130000,10703.734863
-0.120000,10793.039759
-0.110000,10947.678765
-0.100000,11058.694039
-0.090000,11102.478041
-0.080000,11201.166268
-0.070000,11220.760563
-0.060000,11299.780157
-0.050000,11468.410974
-0.040000,11578.231123
-0.030000,11651.977033
-0.020000,11775.587123
-0.010000,11808.208896
0.000000,11896.801566
0.010000,12015.890647
0.020000,12103.834103
0.030000,12173.878851
0.040000,12354.503355
0.050000,12398.129850
0.060000,12496.787203
0.070000,12649.719210
0.080000,12681.667670
0.090000,12867.958494
0.100000,12975.305195
0.110000,13024.553445
0.120000,13149.660619
0.130000,13285.595539
0.140000,13361.617445
0.150000,13462.145389
0.160000,13629.890770
0.170000,13737.892517
0.180000,13888.017733
0.190000,14011.882955
0.200000,14108.908145
0.210000,14283.818698
0.220000,14366.289572
0.230000,14566.664474
0.240000,14636.142427
0.250000,14807.002267
0.260000,14955.184631
0.270000,15021.752857
0.280000,15180.241430
0.290000,15275.148077
0.300000,15385.738673
0.310000,15523.352838
0.320000,15766.049925
0.330000,15947.732724
0.340000,16121.363342
0.350000,16325.770889
0.360000,16482.372545
0.370000,16614.129394
0.380000,16724.107383
0.390000,16812.985407
0.400000,16881.527599
0.410000,17232.119973
0.420000,17487.601570
0.430000,17689.212416
0.440000,17859.445277
0.450000,17981.919096
0.460000,18050.740097
0.470000,18178.125769
0.480000,18564.612992
0.490000,18832.327502
0.500000,18960.699742
0.510000,19094.449836
0.520000,19160.459412
0.530000,19601.452721
0.540000,19883.770145
0.550000,20046.575286
0.560000,20167.901441
0.570000,20448.619368
0.580000,20795.481052
0.590000,20978.831540
0.600000,21046.071738
0.610000,21485.128743
0.620000,21704.794122
0.630000,21864.933855
0.640000,22195.597002
0.650000,22430.293754
0.660000,22632.913015
0.670000,22990.469377
0.680000,23301.143849
0.690000,23592.337185
0.700000,23949.349197
0.710000,24135.584568
0.720000,24501.232939
0.730000,24744.229414
0.740000,25069.985129
0.750000,25355.291310
0.760000,25793.588964
0.770000,26116.133780
0.780000,26502.571023
0.790000,26801.589319
0.800000,27075.472705
0.810000,27426.682868
0.820000,27923.833759
0.830000,28343.638607
0.840000,28727.226113
0.850000,29075.097880
0.860000,29462.807212
0.870000,30005.881767
0.880000,30388.869173
0.890000,30754.982075
0.900000,31286.928103
0.910000,31729.991116
0.920000,32047.506123
0.930000,32674.130939
0.940000,33022.556493
0.950000,33717.670904
0.960000,34170.530301
0.970000,34692.036749
0.980000,35213.216411
0.990000,35796.068891
1.000000,36338.091553
