cosphi,flux
-1.000000,182.953247
-0.990000,0.000031
-0.980000,0.000032
-0.970000,0.000032
-0.960000,0.000032
-0.950000,0.000033
-0.940000,0.000033
-0.930000,0.000033
-0.920000,0.000034
-0.910000,0.000034
-0.900000,0.000034
-0.890000,0.000034
-0.880000,0.000034
-0.870000,0.000035
-0.860000,0.000035
-0.850000,0.000035
-0.840000,0.000036
-0.830000,0.000036
-0.820000,0.000036
-0.810000,0.000037
-0.800000,0.000037
-0.790000,0.000037
-0.780000,0.000038
-0.770000,0.000038
-0.760000,0.000038
-0.750000,0.000038
-0.740000,0.000039
-0.730000,0.000039
-0.720000,0.000039
-0.710000,0.000040
-0.700000,0.000040
-0.690000,0.000040
-0.680000,0.000041
-0.670000,0.000041
-0.660000,0.000042
-0.650000,0.000042
-0.640000,0.000042
-0.630000,0.000042
-0.620000,0.000043
-0.610000,0.000043
-0.600000,0.000043
-0.590000,0.000043
-0.580000,0.000043
-0.570000,0.000044
-0.560000,0.000044
-0.550000,0.000044
-0.540000,0.000045
-0.530000,0.000045
-0.520000,0.000046
-0.510000,0.000047
-0.500000,0.000047
-0.490000,0.000048
-0.480000,0.000048
-0.470000,0.000048
-0.460000,0.000049
-0.450000,0.000049
-0.440000,0.000050
-0.430000,0.000050
-0.420000,0.000050
-0.410000,0.000050
-0.400000,0.000051
-0.390000,0.000052
-0.380000,0.000053
-0.370000,0.000053
-0.360000,0.000053
-0.350000,0.000054
-0.340000,0.000054
-0.330000,0.000055
-0.320000,0.000056
-0.310000,0.000057
-0.300000,0.000058
-0.290000,0.000058
-0.280000,0.000059
-0.270000,0.000059
-0.260000,0.000060
-0.250000,0.000060
-0.240000,0.000061
-0.230000,0.000061
-0.220000,0.000062
-0.210000,0.000063
-0.200000,0.000063
-0.190000,0.000064
-0.180000,0.000065
-0.170000,0.000065
-0.160000,0.000066
-0.150000,0.000067
-0.140000,0.000068
-0.130000,0.000068
-0.120000,0.000069
-0.110000,0.000070
-0.100000,0.000071
-0.090000,0.000072
-0.080000,0.000073
-0.070000,0.000073
-0.060000,0.000074
-0.050000,0.000074
-0.040000,0.000076
-0.030000,0.000077
-0.020000,0.000078
-0.010000,0.000079
0.000000,0.000080
0.010000,0.000080
0.020000,0.000081
0.030000,0.000082
0.040000,0.000084
0.050000,0.000085
0.060000,0.000086
0.070000,0.000087
0.080000,0.000089
0.090000,0.000090
0.100000,0.000090
0.110000,0.000092
0.120000,0.000094
0.130000,0.000095
0.140000,0.000096
0.150000,0.000098
0.160000,0.000099
0.170000,0.000101
0.180000,0.000102
0.190000,0.000103
0.200000,0.000105
0.210000,0.000107
0.220000,0.000109
0.230000,0.000110
0.240000,0.000111
0.250000,0.000114
0.260000,0.000115
0.270000,0.000117
0.280000,0.000119
0.290000,0.000120
0.300000,0.000123
0.310000,0.000124
0.320000,0.000126
0.330000,0.000128
0.340000,0.000130
0.350000,0.000132
0.360000,0.000134
0.370000,0.000138
0.380000,0.000140
0.390000,0.000143
0.400000,0.000146
0.410000,0.000149
0.420000,0.000152
0.430000,0.000155
0.440000,0.000158
0.450000,0.000161
0.460000,0.000165
0.470000,0.000168
0.480000,0.000171
0.490000,0.000174
0.500000,0.000178
0.510000,0.000181
0.520000,0.000184
0.530000,0.000188
0.540000,0.000193
0.550000,0.000199
0.560000,0.000204
0.570000,0.000209
0.580000,0.000214
0.590000,0.000219
0.600000,0.000224
0.610000,0.000228
0.620000,0.000233
0.630000,0.000239
0.640000,0.000248
0.650000,0.000255
0.660000,0.000264
0.670000,0.000270
0.680000,0.000277
0.690000,0.000283
0.700000,0.000292
0.710000,0.000304
0.720000,0.000315
0.730000,0.000324
0.740000,0.000332
0.750000,0.000344
0.760000,0.000359
0.770000,0.000371
0.780000,0.000381
0.790000,0.000399
0.800000,0.000415
0.810000,0.000428
0.820000,0.000450
0.830000,0.000467
0.840000,0.000489
0.850000,0.000512
0.860000,0.000538
0.870000,0.000560
0.880000,0.000594
0.890000,0.000627
0.900000,0.000661
0.910000,0.000700
0.920000,0.000741
0.930000,0.000791
0.940000,0.000845
0.950000,0.000907
0.960000,0.000978
0.970000,0.001058
0.980000,0.001153
0.990000,0.001261
1.000000,0.001385
