costheta,flux
-1.000000,0.000000
-0.990000,0.000000
-0.980000,0.000000
-0.970000,0.000000
-0.960000,0.000000
-0.950000,0.000000
-0.940000,0.000000
-0.930000,0.000000
-0.920000,0.000000
-0.910000,0.000000
-0.900000,0.000000
-0.890000,0.000000
-0.880000,0.000000
-0.870000,0.000000
-0.860000,0.000000
-0.850000,0.000000
-0.840000,0.000000
-0.830000,0.000000
-0.820000,0.000000
-0.810000,0.000000
-0.800000,0.000000
-0.790000,0.000000
-0.780000,0.000000
-0.770000,0.000000
-0.760000,0.000000
-0.750000,0.000000
-0.740000,0.000000
-0.730000,0.000000
-0.720000,0.000000
-0.710000,0.000000
-0.700000,0.000000
-0.690000,0.000000
-0.680000,0.000000
-0.670000,0.000000
-0.660000,0.000000
-0.650000,0.000000
-0.640000,0.000000
-0.630000,0.000000
-0.620000,0.000000
-0.610000,0.000000
-0.600000,0.000000
-0.590000,0.000000
-0.580000,0.000000
-0.570000,0.000000
-0.560000,0.000000
-0.550000,0.000000
-0.540000,0.000000
-0.530000,0.000000
-0.520000,0.000000
-0.510000,0.000000
-0.500000,0.000000
-0.490000,0.000000
-0.480000,0.000000
-0.470000,0.000000
-0.460000,0.000000
-0.450000,0.000000
-0.440000,0.000000
-0.430000,0.000000
-0.420000,0.000000
-0.410000,0.000000
-0.400000,0.000000
-0.390000,0.000000
-0.380000,0.000000
-0.370000,0.000000
-0.360000,0.000000
-0.350000,0.000000
-0.340000,0.000000
-0.330000,0.000000
-0.320000,0.000000
-0.310000,0.000000
-0.300000,0.000000
-0.290000,0.000000
-0.280000,0.000000
-0.270000,0.000000
-0.260000,0.000000
-0.250000,0.000000
-0.240000,0.000000
-0.230000,0.000000
-0.220000,0.000000
-0.210000,0.000000
-0.200000,0.000000
-0.190000,0.000000
-0.180000,0.000000
-0.170000,0.000000
-0.160000,0.000000
-0.150000,0.000000
-0.140000,0.000000
-0.130000,0.000000
-0.120000,0.000000
-0.110000,0.000000
-0.100000,0.000000
-0.090000,0.000000
-0.080000,0.000000
-0.070000,0.000000
-0.060000,0.000000
-0.050000,0.000000
-0.040000,0.000000
-0.030000,0.000000
-0.020000,0.000000
-0.010000,0.000000
0.000000,0.000000
0.010000,0.000000
0.020000,0.000000
0.030000,0.000000
0.040000,0.000000
0.050000,0.000000
0.060000,0.000000
0.070000,0.000000
0.080000,0.000000
0.090000,0.000000
0.100000,1.968611
0.110000,0.234956
0.120000,0.178210
0.130000,0.154454
0.140000,0.141510
0.150000,0.134040
0.160000,0.127495
0.170000,0.123742
0.180000,0.525993
0.190000,0.395795
0.200000,0.347073
0.210000,0.320225
0.220000,0.303665
0.230000,0.749947
0.240000,0.597529
0.250000,0.538869
0.260000,0.504527
0.270000,0.994487
0.280000,0.815168
0.290000,0.742357
0.300000,1.507826
0.310000,1.089288
0.320000,0.979122
0.330000,1.846377
0.340000,1.333436
0.350000,1.203896
0.360000,1.889065
0.370000,1.549226
0.380000,7.845365
0.390000,1.729304
0.400000,1.581527
0.410000,2.277257
0.420000,1.951104
0.430000,2.777272
0.440000,2.293664
0.450000,3.197527
0.460000,2.615095
0.470000,3.495124
0.480000,2.921560
0.490000,3.706078
0.500000,3.224194
0.510000,3.919742
0.520000,5.552836
0.530000,4.058496
0.540000,4.935010
0.550000,4.309009
0.560000,5.004998
0.570000,5.911177
0.580000,8.658717
0.590000,5.683325
0.600000,6.543337
0.610000,7.630270
0.620000,10.491504
0.630000,7.041872
0.640000,7.889340
0.650000,8.781465
0.660000,9.710414
0.670000,10.753120
0.680000,11.934181
0.690000,13.208461
0.700000,14.490069
0.710000,15.395551
0.720000,15.776252
0.730000,15.961956
0.740000,16.219168
0.750000,16.624785
0.760000,17.143659
0.770000,17.772134
0.780000,18.519593
0.790000,23.907901
0.800000,23.141439
0.810000,23.510249
0.820000,29.046120
0.830000,28.268967
0.840000,34.431443
0.850000,33.043371
0.860000,38.688754
0.870000,45.781326
0.880000,66.242288
0.890000,45.894314
0.900000,52.635862
0.910000,76.302452
0.920000,73.809739
0.930000,78.766047
0.940000,98.657066
0.950000,119.562740
0.960000,139.161113
0.970000,187.379572
0.980000,234.674657
0.990000,376.004773
1.000000,1193.059226
