costheta,flux
-1.000000,91.699054
-0.990000,91.277814
-0.980000,91.467680
-0.970000,91.650026
-0.960000,91.732886
-0.950000,91.765512
-0.940000,91.656291
-0.930000,91.578510
-0.920000,91.529243
-0.910000,91.435819
-0.900000,91.379685
-0.890000,91.283103
-0.880000,91.130048
-0.870000,91.046406
-0.860000,90.987430
-0.850000,90.803909
-0.840000,90.603383
-0.830000,90.508142
-0.820000,90.311362
-0.810000,90.047992
-0.800000,89.980706
-0.790000,89.703339
-0.780000,89.557066
-0.770000,89.352790
-0.760000,89.019793
-0.750000,88.880821
-0.740000,88.597968
-0.730000,88.205473
-0.720000,88.118787
-0.710000,87.802688
-0.700000,87.392125
-0.690000,87.163831
-0.680000,86.889386
-0.670000,86.475755
-0.660000,86.084633
-0.650000,85.739313
-0.640000,85.354923
-0.630000,84.814746
-0.620000,84.262084
-0.610000,83.753976
-0.600000,83.517139
-0.590000,83.069875
-0.580000,82.529617
-0.570000,81.840878
-0.560000,81.175129
-0.550000,80.614842
-0.540000,80.122104
-0.530000,79.685046
-0.520000,79.048985
-0.510000,78.239591
-0.500000,3156.076768
-0.490000,76.765794
-0.480000,76.082502
-0.470000,75.380103
-0.460000,74.622960
-0.450000,73.808760
-0.440000,72.899529
-0.430000,71.945069
-0.420000,71.037031
-0.410000,70.073864
-0.400000,69.149239
-0.390000,68.179136
-0.380000,67.141160
-0.370000,66.167958
-0.360000,65.222525
-0.350000,64.086768
-0.340000,62.854584
-0.330000,61.798475
-0.320000,60.640731
-0.310000,59.417446
-0.300000,58.153710
-0.290000,56.828126
-0.280000,55.439821
-0.270000,53.946573
-0.260000,52.508645
-0.250000,51.121835
-0.240000,49.598478
-0.230000,48.057343
-0.220000,46.443581
-0.210000,44.780500
-0.200000,43.080036
-0.190000,41.316201
-0.180000,39.530073
-0.170000,37.735641
-0.160000,35.887434
-0.150000,33.967040
-0.140000,31.998458
-0.130000,30.034814
-0.120000,27.952464
-0.110000,25.805868
-0.100000,23.614586
-0.090000,21.377327
-0.080000,19.135912
-0.070000,16.840346
-0.060000,14.527868
-0.050000,12.161688
-0.040000,9.774650
-0.030000,7.353734
-0.020000,4.912891
-0.010000,2.459468
0.000000,0.000123
0.010000,2.459714
0.020000,4.913137
0.030000,7.353978
0.040000,9.774892
0.050000,12.161928
0.060000,14.528104
0.070000,16.840579
0.080000,19.136142
0.090000,21.377554
0.100000,48.289531
0.110000,28.769355
0.120000,30.196509
0.130000,31.991418
0.140000,33.787611
0.150000,35.656449
0.160000,37.510910
0.170000,39.308952
0.180000,46.052035
0.190000,46.230379
0.200000,47.400541
0.210000,48.787988
0.220000,50.253206
0.230000,57.397039
0.240000,57.091991
0.250000,57.871257
0.260000,58.853991
0.270000,66.366015
0.280000,65.690841
0.290000,66.199133
0.300000,77.198413
0.310000,73.285543
0.320000,73.098609
0.330000,85.324052
0.340000,79.951817
0.350000,79.569712
0.360000,89.438575
0.370000,86.149113
0.380000,175.791874
0.390000,91.224962
0.400000,90.194671
0.410000,100.114918
0.420000,96.977344
0.430000,108.695753
0.440000,103.532016
0.450000,116.425689
0.460000,109.829716
0.470000,122.323151
0.480000,115.741216
0.490000,127.061972
0.500000,121.527134
0.510000,131.799643
0.520000,155.305561
0.530000,136.106619
0.540000,148.738672
0.550000,141.128610
0.560000,151.538066
0.570000,165.198375
0.580000,205.888153
0.590000,164.991512
0.600000,177.843141
0.610000,194.203566
0.620000,237.953812
0.630000,189.353885
0.640000,202.741706
0.650000,216.703706
0.660000,231.942396
0.670000,249.314651
0.680000,268.818080
0.690000,290.800519
0.700000,313.343845
0.710000,330.405028
0.720000,339.196041
0.730000,344.549650
0.740000,351.925467
0.750000,361.485329
0.760000,373.589454
0.770000,387.840744
0.780000,404.291228
0.790000,496.366885
0.800000,490.901321
0.810000,504.029695
0.820000,604.079834
0.830000,600.543676
0.840000,717.313382
0.850000,705.704491
0.860000,818.428433
0.870000,965.216112
0.880000,1435.520411
0.890000,1015.527277
0.900000,1167.521485
0.910000,1680.281505
0.920000,1663.735550
0.930000,1821.133184
0.940000,2304.227315
0.950000,2859.178757
0.960000,3437.956285
0.970000,4782.234925
0.980000,6302.269286
0.990000,10710.687964
1.000000,42322.062984
