costheta,flux
-1.000000,2448.872478
-0.990000,2425.818049
-0.980000,2402.719613
-0.970000,2379.578176
-0.960000,2358.352235
-0.950000,2336.624344
-0.940000,2314.318200
-0.930000,2292.928870
-0.920000,2272.000281
-0.910000,2250.301264
-0.900000,2228.176980
-0.890000,2205.797377
-0.880000,2185.060443
-0.870000,2163.727380
-0.860000,2142.013761
-0.850000,2119.858913
-0.840000,2097.445027
-0.830000,2074.834858
-0.820000,2053.711627
-0.810000,2032.055836
-0.800000,2010.074774
-0.790000,1987.965228
-0.780000,1965.451111
-0.770000,1945.189002
-0.760000,1923.353920
-0.750000,1901.047282
-0.740000,1879.642104
-0.730000,1858.642130
-0.720000,1836.637363
-0.710000,1814.205048
-0.700000,1791.835997
-0.690000,1769.106947
-0.680000,1746.099588
-0.670000,1722.882731
-0.660000,1699.487884
-0.650000,1675.935278
-0.640000,1652.239600
-0.630000,1628.412129
-0.620000,1608.002967
-0.610000,1585.307542
-0.600000,1562.116212
-0.590000,1541.165807
-0.580000,1519.529083
-0.570000,1497.014629
-0.560000,1474.107127
-0.550000,1450.738318
-0.540000,1427.057209
-0.530000,1403.122096
-0.520000,1378.968867
-0.510000,1354.622485
-0.500000,1330.101599
-0.490000,1305.420929
-0.480000,1284.498385
-0.470000,1262.179527
-0.460000,1243.629083
-0.450000,1221.903580
-0.440000,1199.058234
-0.430000,1175.532453
-0.420000,1151.504933
-0.410000,1127.074223
-0.400000,1102.303448
-0.390000,1081.271417
-0.380000,1060.120422
-0.370000,1036.923062
-0.360000,1012.817578
-0.350000,988.766314
-0.340000,964.181950
-0.330000,938.938132
-0.320000,913.248232
-0.310000,887.192726
-0.300000,860.820581
-0.290000,834.166901
-0.280000,807.258813
-0.270000,780.118306
-0.260000,752.763965
-0.250000,725.211712
-0.240000,697.475661
-0.230000,669.568339
-0.220000,641.501193
-0.210000,613.284655
-0.200000,584.928371
-0.190000,556.441439
-0.180000,527.832366
-0.170000,499.109181
-0.160000,470.279668
-0.150000,441.351125
-0.140000,412.330717
-0.130000,383.225300
-0.120000,381.826745
-0.110000,366.736379
-0.100000,343.348220
-0.090000,315.799786
-0.080000,285.510595
-0.070000,253.227171
-0.060000,219.426275
-0.050000,184.450471
-0.040000,148.566621
-0.030000,111.995769
-0.020000,74.929964
-0.010000,37.543050
0.000000,0.001885
0.010000,37.546832
0.020000,74.933711
0.030000,111.999506
0.040000,148.570345
0.050000,184.454148
0.060000,219.429917
0.070000,253.230767
0.080000,285.514131
0.090000,315.803271
0.100000,343.351676
0.110000,366.739702
0.120000,381.829918
0.130000,383.228242
0.140000,412.333632
0.150000,441.354042
0.160000,470.282586
0.170000,499.112129
0.180000,527.835257
0.190000,556.444345
0.200000,584.931282
0.210000,613.287539
0.220000,641.504065
0.230000,669.571237
0.240000,697.478535
0.250000,725.214588
0.260000,752.766811
0.270000,780.121176
0.280000,807.261646
0.290000,834.169747
0.300000,860.823423
0.310000,887.195538
0.320000,913.251075
0.330000,938.940928
0.340000,964.184742
0.350000,988.769076
0.360000,1012.820324
0.370000,1036.925794
0.380000,1060.123148
0.390000,1081.274141
0.400000,1102.306143
0.410000,1127.076920
0.420000,1151.507596
0.430000,1175.535141
0.440000,1199.060919
0.450000,1221.906234
0.460000,1243.631713
0.470000,1262.182157
0.480000,1284.501002
0.490000,1305.423539
0.500000,1330.104206
0.510000,1354.625073
0.520000,1378.971456
0.530000,1403.124692
0.540000,1427.059768
0.550000,1450.740881
0.560000,1474.109675
0.570000,1497.017154
0.580000,1519.531628
0.590000,1541.168357
0.600000,1562.118749
0.610000,1585.310060
0.620000,1608.005491
0.630000,1628.414670
0.640000,1652.242068
0.650000,1675.937780
0.660000,1699.490394
0.670000,1722.885200
0.680000,1746.102079
0.690000,1769.109427
0.700000,1791.838477
0.710000,1814.207517
0.720000,1836.639860
0.730000,1858.644589
0.740000,1879.644559
0.750000,1901.049727
0.760000,1923.356357
0.770000,1945.191466
0.780000,1965.453549
0.790000,1987.967638
0.800000,2010.077183
0.810000,2032.058287
0.820000,2053.714000
0.830000,2074.837262
0.840000,2097.447438
0.850000,2119.861278
0.860000,2142.016153
0.870000,2163.729777
0.880000,2185.062818
0.890000,2205.799750
0.900000,2228.179331
0.910000,2250.303651
0.920000,2272.002674
0.930000,2292.931234
0.940000,2314.320567
0.950000,2336.626670
0.960000,2358.354602
0.970000,2379.580562
0.980000,2402.721968
0.990000,2425.820392
1.000000,2448.872478
