costheta,flux
-1.000000,0.000000
-0.990000,0.000000
-0.980000,0.000000
-0.970000,0.000000
-0.960000,0.000000
-0.950000,0.000000
-0.940000,0.000000
-0.930000,0.000000
-0.920000,0.000000
-0.910000,0.000000
-0.900000,0.000000
-0.890000,0.000000
-0.880000,0.000000
-0.870000,0.000000
-0.860000,0.000000
-0.850000,0.000000
-0.840000,0.000000
-0.830000,0.000000
-0.820000,0.000000
-0.810000,0.000000
-0.800000,0.000000
-0.790000,0.000000
-0.780000,0.000000
-0.770000,0.000000
-0.760000,0.000000
-0.750000,0.000000
-0.740000,0.000000
-0.730000,0.000000
-0.720000,0.000000
-0.710000,0.000000
-0.700000,0.000000
-0.690000,0.000000
-0.680000,0.000000
-0.670000,0.000000
-0.660000,0.000000
-0.650000,0.000000
-0.640000,0.000000
-0.630000,0.000000
-0.620000,0.000000
-0.610000,0.000000
-0.600000,0.000000
-0.590000,0.000000
-0.580000,0.000000
-0.570000,0.000000
-0.560000,0.000000
-0.550000,0.000000
-0.540000,0.000000
-0.530000,0.000000
-0.520000,0.000000
-0.510000,0.000000
-0.500000,0.000000
-0.490000,0.000000
-0.480000,0.000000
-0.470000,0.000000
-0.460000,0.000000
-0.450000,0.000000
-0.440000,0.000000
-0.430000,0.000000
-0.420000,0.000000
-0.410000,0.000000
-0.400000,0.000000
-0.390000,0.000000
-0.380000,0.000000
-0.370000,0.000000
-0.360000,0.000000
-0.350000,0.000000
-0.340000,0.000000
-0.330000,0.000000
-0.320000,0.000000
-0.310000,0.000000
-0.300000,0.000000
-0.290000,0.000000
-0.280000,0.000000
-0.270000,0.000000
-0.260000,0.000000
-0.250000,0.000000
-0.240000,0.000000
-0.230000,0.000000
-0.220000,0.000000
-0.210000,0.000000
-0.200000,0.000000
-0.190000,0.000000
-0.180000,0.000000
-0.170000,0.000000
-0.160000,0.000000
-0.150000,0.000000
-0.140000,0.000000
-0.130000,0.000000
-0.120000,0.000000
-0.110000,0.000000
-0.100000,0.000000
-0.090000,0.000000
-0.080000,0.000000
-0.070000,0.000000
-0.060000,0.000000
-0.050000,0.000000
-0.040000,0.000000
-0.030000,0.000000
-0.020000,0.000000
-0.010000,0.000000
0.000000,0.000000
0.010000,0.000000
0.020000,0.000000
0.030000,0.000000
0.040000,0.000000
0.050000,0.000000
0.060000,0.000000
0.070000,0.000000
0.080000,0.000000
0.090000,0.000000
0.100000,0.725877
0.110000,0.087414
0.120000,0.066489
0.130000,0.057794
0.140000,0.053107
0.150000,0.050240
0.160000,0.047926
0.170000,0.046740
0.180000,0.194254
0.190000,0.146356
0.200000,0.128884
0.210000,0.119627
0.220000,0.114237
0.230000,0.292694
0.240000,0.233878
0.250000,0.211512
0.260000,0.198946
0.270000,0.412771
0.280000,0.338192
0.290000,0.309619
0.300000,0.681084
0.310000,0.488600
0.320000,0.438239
0.330000,0.901177
0.340000,0.642583
0.350000,0.582730
0.360000,0.976405
0.370000,0.796623
0.380000,6.094644
0.390000,1.033467
0.400000,0.931263
0.410000,1.395685
0.420000,1.195776
0.430000,1.816652
0.440000,1.492013
0.450000,2.248671
0.460000,1.820203
0.470000,2.624241
0.480000,2.181137
0.490000,2.965540
0.500000,2.570468
0.510000,3.338955
0.520000,5.375075
0.530000,3.749864
0.540000,4.918918
0.550000,4.272839
0.560000,5.288114
0.570000,6.791260
0.580000,12.019715
0.590000,7.087085
0.600000,8.746259
0.610000,11.164823
0.620000,18.554583
0.630000,11.083360
0.640000,13.297320
0.650000,15.972599
0.660000,19.214898
0.670000,23.356412
0.680000,28.582299
0.690000,35.310376
0.700000,43.090065
0.710000,50.225300
0.720000,55.258388
0.730000,59.324253
0.740000,64.117452
0.750000,70.207186
0.760000,77.727835
0.770000,86.965430
0.780000,98.091228
0.790000,157.477734
0.800000,160.306115
0.810000,176.194205
0.820000,267.634122
0.830000,276.651074
0.840000,418.823356
0.850000,425.299449
0.860000,603.672829
0.870000,897.793458
0.880000,2669.677836
0.890000,1161.465003
0.900000,1610.580841
0.910000,3778.332737
0.920000,3859.581678
0.930000,4985.723465
0.940000,8638.849841
0.950000,14720.559478
0.960000,23702.422848
0.970000,52122.433846
0.980000,104600.444834
0.990000,364230.712205
1.000000,17708137.546140
