costheta,flux
-1.000000,0.022640
-0.990000,0.022372
-0.980000,0.022125
-0.970000,0.021928
-0.960000,0.021689
-0.950000,0.021482
-0.940000,0.021260
-0.930000,0.021014
-0.920000,0.020798
-0.910000,0.020564
-0.900000,0.020339
-0.890000,0.020119
-0.880000,0.019894
-0.870000,0.019669
-0.860000,0.019433
-0.850000,0.019200
-0.840000,0.018977
-0.830000,0.018755
-0.820000,0.018539
-0.810000,0.018304
-0.800000,0.018072
-0.790000,0.017855
-0.780000,0.017622
-0.770000,0.017388
-0.760000,0.017169
-0.750000,0.016951
-0.740000,0.016728
-0.730000,0.016503
-0.720000,0.016253
-0.710000,0.016047
-0.700000,0.015822
-0.690000,0.015583
-0.680000,0.015374
-0.670000,0.015140
-0.660000,0.014894
-0.650000,0.014700
-0.640000,0.014463
-0.630000,0.014225
-0.620000,0.014004
-0.610000,0.013784
-0.600000,0.013555
-0.590000,0.013328
-0.580000,0.013119
-0.570000,0.012869
-0.560000,0.012660
-0.550000,0.012441
-0.540000,0.012208
-0.530000,0.011975
-0.520000,0.011747
-0.510000,0.011529
-0.500000,0.011300
-0.490000,0.011061
-0.480000,0.010849
-0.470000,0.010634
-0.460000,0.010394
-0.450000,0.010173
-0.440000,0.009951
-0.430000,0.009721
-0.420000,0.009501
-0.410000,0.009268
-0.400000,0.009034
-0.390000,0.008817
-0.380000,0.008579
-0.370000,0.008372
-0.360000,0.008139
-0.350000,0.007922
-0.340000,0.007681
-0.330000,0.007448
-0.320000,0.007229
-0.310000,0.007006
-0.300000,0.006777
-0.290000,0.006562
-0.280000,0.006322
-0.270000,0.006096
-0.260000,0.005883
-0.250000,0.005635
-0.240000,0.005431
-0.230000,0.005192
-0.220000,0.004972
-0.210000,0.004745
-0.200000,0.004513
-0.190000,0.004282
-0.180000,0.004085
-0.170000,0.003852
-0.160000,0.003594
-0.150000,0.003376
-0.140000,0.003167
-0.130000,0.002934
-0.120000,0.002699
-0.110000,0.002491
-0.100000,0.002279
-0.090000,0.002030
-0.080000,0.001798
-0.070000,0.001582
-0.060000,0.001363
-0.050000,0.001139
-0.040000,0.000890
-0.030000,0.000663
-0.020000,0.000442
-0.010000,0.000230
0.000000,0.000000
0.010000,0.000220
0.020000,0.000455
0.030000,0.000675
0.040000,0.000915
0.050000,0.001124
0.060000,0.001357
0.070000,0.001573
0.080000,0.001818
0.090000,0.002041
0.100000,0.002818
0.110000,0.002555
0.120000,0.002775
0.130000,0.002986
0.140000,0.003209
0.150000,0.003438
0.160000,0.003664
0.170000,0.003860
0.180000,0.004221
0.190000,0.004421
0.200000,0.004624
0.210000,0.004849
0.220000,0.005058
0.230000,0.005423
0.240000,0.005602
0.250000,0.005821
0.260000,0.006030
0.270000,0.006386
0.280000,0.006568
0.290000,0.006764
0.300000,0.007190
0.310000,0.007311
0.320000,0.007523
0.330000,0.007984
0.340000,0.008071
0.350000,0.008234
0.360000,0.008670
0.370000,0.008800
0.380000,0.010824
0.390000,0.009323
0.400000,0.009511
0.410000,0.009902
0.420000,0.010035
0.430000,0.010487
0.440000,0.010598
0.450000,0.011041
0.460000,0.011121
0.470000,0.011561
0.480000,0.011650
0.490000,0.012092
0.500000,0.012198
0.510000,0.012578
0.520000,0.013217
0.530000,0.013093
0.540000,0.013517
0.550000,0.013586
0.560000,0.013998
0.570000,0.014442
0.580000,0.015323
0.590000,0.014863
0.600000,0.015290
0.610000,0.015758
0.620000,0.016646
0.630000,0.016110
0.640000,0.016543
0.650000,0.016951
0.660000,0.017406
0.670000,0.017851
0.680000,0.018354
0.690000,0.018854
0.700000,0.019358
0.710000,0.019796
0.720000,0.020124
0.730000,0.020400
0.740000,0.020720
0.750000,0.021060
0.760000,0.021440
0.770000,0.021827
0.780000,0.022255
0.790000,0.023468
0.800000,0.023668
0.810000,0.024065
0.820000,0.025299
0.830000,0.025520
0.840000,0.026868
0.850000,0.027048
0.860000,0.028343
0.870000,0.029857
0.880000,0.034030
0.890000,0.031001
0.900000,0.032568
0.910000,0.036574
0.920000,0.036967
0.930000,0.038645
0.940000,0.042309
0.950000,0.046373
0.960000,0.050846
0.970000,0.059167
0.980000,0.069098
0.990000,0.092507
1.000000,0.236126
