costheta,flux
-1.000000,0.000000
-0.990000,0.000000
-0.980000,0.000000
-0.970000,0.000000
-0.960000,0.000000
-0.950000,0.000000
-0.940000,0.000000
-0.930000,0.000000
-0.920000,0.000000
-0.910000,0.000000
-0.900000,0.000000
-0.890000,0.000000
-0.880000,0.000000
-0.870000,0.000000
-0.860000,0.000000
-0.850000,0.000000
-0.840000,0.000000
-0.830000,0.000000
-0.820000,0.000000
-0.810000,0.000000
-0.800000,0.000000
-0.790000,0.000000
-0.780000,0.000000
-0.770000,0.000000
-0.760000,0.000000
-0.750000,0.000000
-0.740000,0.000000
-0.730000,0.000000
-0.720000,0.000000
-0.710000,0.000000
-0.700000,0.000000
-0.690000,0.000000
-0.680000,0.000000
-0.670000,0.000000
-0.660000,0.000000
-0.650000,0.000000
-0.640000,0.000000
-0.630000,0.000000
-0.620000,0.000000
-0.610000,0.000000
-0.600000,0.000000
-0.590000,0.000000
-0.580000,0.000000
-0.570000,0.000000
-0.560000,0.000000
-0.550000,0.000000
-0.540000,0.000000
-0.530000,0.000000
-0.520000,0.000000
-0.510000,0.000000
-0.500000,0.000000
-0.490000,0.000000
-0.480000,0.000000
-0.470000,0.000000
-0.460000,0.000000
-0.450000,0.000000
-0.440000,0.000000
-0.430000,0.000000
-0.420000,0.000000
-0.410000,0.000000
-0.400000,0.000000
-0.390000,0.000000
-0.380000,0.000000
-0.370000,0.000000
-0.360000,0.000000
-0.350000,0.000000
-0.340000,0.000000
-0.330000,0.000000
-0.320000,0.000000
-0.310000,0.000000
-0.300000,0.000000
-0.290000,0.000000
-0.280000,0.000000
-0.270000,0.000000
-0.260000,0.000000
-0.250000,0.000000
-0.240000,0.000000
-0.230000,0.000000
-0.220000,0.000000
-0.210000,0.000000
-0.200000,0.000000
-0.190000,0.000000
-0.180000,0.000000
-0.170000,0.000000
-0.160000,0.000000
-0.150000,0.000000
-0.140000,0.000000
-0.130000,0.000000
-0.120000,0.000000
-0.110000,0.000000
-0.100000,0.000000
-0.090000,0.000000
-0.080000,0.000000
-0.070000,0.000000
-0.060000,0.000000
-0.050000,0.000000
-0.040000,0.000000
-0.030000,0.000000
-0.020000,0.000000
-0.010000,0.000000
0.000000,0.000000
0.010000,0.000000
0.020000,0.000000
0.030000,0.000000
0.040000,0.000000
0.050000,0.000000
0.060000,0.000000
0.070000,0.000000
0.080000,0.000000
0.090000,0.000000
0.100000,0.000584
0.110000,0.000070
0.120000,0.000053
0.130000,0.000046
0.140000,0.000042
0.150000,0.000040
0.160000,0.000038
0.170000,0.000037
0.180000,0.000152
0.190000,0.000116
0.200000,0.000101
0.210000,0.000094
0.220000,0.000089
0.230000,0.000216
0.240000,0.000173
0.250000,0.000156
0.260000,0.000147
0.270000,0.000284
0.280000,0.000234
0.290000,0.000214
0.300000,0.000425
0.310000,0.000312
0.320000,0.000281
0.330000,0.000517
0.340000,0.000380
0.350000,0.000344
0.360000,0.000529
0.370000,0.000438
0.380000,0.002244
0.390000,0.000498
0.400000,0.000456
0.410000,0.000639
0.420000,0.000553
0.430000,0.000767
0.440000,0.000644
0.450000,0.000877
0.460000,0.000730
0.470000,0.000954
0.480000,0.000813
0.490000,0.001010
0.500000,0.000894
0.510000,0.001063
0.520000,0.001464
0.530000,0.001109
0.540000,0.001321
0.550000,0.001177
0.560000,0.001344
0.570000,0.001559
0.580000,0.002210
0.590000,0.001528
0.600000,0.001726
0.610000,0.001978
0.620000,0.002632
0.630000,0.001876
0.640000,0.002067
0.650000,0.002267
0.660000,0.002480
0.670000,0.002717
0.680000,0.002976
0.690000,0.003261
0.700000,0.003542
0.710000,0.003745
0.720000,0.003847
0.730000,0.003910
0.740000,0.003994
0.750000,0.004102
0.760000,0.004245
0.770000,0.004416
0.780000,0.004613
0.790000,0.005629
0.800000,0.005574
0.810000,0.005739
0.820000,0.006759
0.830000,0.006758
0.840000,0.007885
0.850000,0.007842
0.860000,0.008898
0.870000,0.010201
0.880000,0.014142
0.890000,0.010885
0.900000,0.012221
0.910000,0.016008
0.920000,0.016189
0.930000,0.017634
0.940000,0.021073
0.950000,0.024930
0.960000,0.029142
0.970000,0.037240
0.980000,0.046942
0.990000,0.070132
1.000000,0.213486
