costheta,flux
-1.000000,1.767222
-0.990000,1.748990
-0.980000,1.729485
-0.970000,1.712164
-0.960000,1.694367
-0.950000,1.677057
-0.940000,1.657743
-0.930000,1.641342
-0.920000,1.624516
-0.910000,1.605722
-0.900000,1.588312
-0.890000,1.568470
-0.880000,1.552756
-0.870000,1.535863
-0.860000,1.517682
-0.850000,1.499773
-0.840000,1.480066
-0.830000,1.463141
-0.820000,1.447436
-0.810000,1.429615
-0.800000,1.411492
-0.790000,1.395897
-0.780000,1.375716
-0.770000,1.358000
-0.760000,1.341047
-0.750000,1.323645
-0.740000,1.305887
-0.730000,1.288082
-0.720000,1.270623
-0.710000,1.254097
-0.700000,1.233746
-0.690000,1.217408
-0.680000,1.200875
-0.670000,1.181382
-0.660000,1.162706
-0.650000,1.148655
-0.640000,1.129824
-0.630000,1.109356
-0.620000,1.091646
-0.610000,1.077635
-0.600000,1.059893
-0.590000,1.039742
-0.580000,1.024553
-0.570000,1.002959
-0.560000,0.986737
-0.550000,0.969871
-0.540000,0.952897
-0.530000,0.935167
-0.520000,0.918942
-0.510000,0.899976
-0.500000,0.884424
-0.490000,0.866824
-0.480000,0.847146
-0.470000,0.831091
-0.460000,0.811751
-0.450000,0.794054
-0.440000,0.776868
-0.430000,0.760197
-0.420000,0.743373
-0.410000,0.722841
-0.400000,0.706502
-0.390000,0.685974
-0.380000,0.669416
-0.370000,0.654434
-0.360000,0.635480
-0.350000,0.616320
-0.340000,0.600014
-0.330000,0.583072
-0.320000,0.565979
-0.310000,0.546576
-0.300000,0.530325
-0.290000,0.511868
-0.280000,0.496379
-0.270000,0.474894
-0.260000,0.461006
-0.250000,0.442009
-0.240000,0.424825
-0.230000,0.405432
-0.220000,0.389016
-0.210000,0.372622
-0.200000,0.353075
-0.190000,0.334481
-0.180000,0.317906
-0.170000,0.300761
-0.160000,0.281452
-0.150000,0.264140
-0.140000,0.246445
-0.130000,0.229928
-0.120000,0.209073
-0.110000,0.195740
-0.100000,0.176191
-0.090000,0.157997
-0.080000,0.141863
-0.070000,0.124773
-0.060000,0.105793
-0.050000,0.086424
-0.040000,0.070884
-0.030000,0.051847
-0.020000,0.034198
-0.010000,0.016489
0.000000,0.000000
0.010000,0.017308
0.020000,0.034663
0.030000,0.053558
0.040000,0.068899
0.050000,0.088718
0.060000,0.102545
0.070000,0.124012
0.080000,0.140017
0.090000,0.159570
0.100000,0.175509
0.110000,0.191514
0.120000,0.212245
0.130000,0.230284
0.140000,0.247889
0.150000,0.265567
0.160000,0.282274
0.170000,0.299868
0.180000,0.318631
0.190000,0.336924
0.200000,0.352088
0.210000,0.371887
0.220000,0.388921
0.230000,0.407829
0.240000,0.422406
0.250000,0.439963
0.260000,0.458387
0.270000,0.477348
0.280000,0.493429
0.290000,0.513939
0.300000,0.528014
0.310000,0.547830
0.320000,0.563072
0.330000,0.582819
0.340000,0.599909
0.350000,0.616898
0.360000,0.634840
0.370000,0.651665
0.380000,0.672044
0.390000,0.688975
0.400000,0.705729
0.410000,0.722742
0.420000,0.740160
0.430000,0.756877
0.440000,0.775139
0.450000,0.794912
0.460000,0.812925
0.470000,0.828854
0.480000,0.847926
0.490000,0.863047
0.500000,0.880643
0.510000,0.901085
0.520000,0.916715
0.530000,0.932129
0.540000,0.953275
0.550000,0.971654
0.560000,0.987957
0.570000,1.007082
0.580000,1.022672
0.590000,1.042643
0.600000,1.059170
0.610000,1.076879
0.620000,1.093547
0.630000,1.113438
0.640000,1.130429
0.650000,1.146131
0.660000,1.165276
0.670000,1.184508
0.680000,1.199352
0.690000,1.217895
0.700000,1.235658
0.710000,1.252300
0.720000,1.272261
0.730000,1.289978
0.740000,1.307541
0.750000,1.325228
0.760000,1.341228
0.770000,1.358386
0.780000,1.376636
0.790000,1.394353
0.800000,1.412109
0.810000,1.429769
0.820000,1.449298
0.830000,1.465196
0.840000,1.485289
0.850000,1.499397
0.860000,1.518365
0.870000,1.536936
0.880000,1.553575
0.890000,1.570999
0.900000,1.588260
0.910000,1.607251
0.920000,1.624299
0.930000,1.642395
0.940000,1.661164
0.950000,1.677210
0.960000,1.694943
0.970000,1.715581
0.980000,1.731966
0.990000,1.749846
1.000000,1.777896
