costheta,flux
-1.000000,0.454520
-0.990000,0.450049
-0.980000,0.445610
-0.970000,0.441165
-0.960000,0.436702
-0.950000,0.432248
-0.940000,0.427780
-0.930000,0.423304
-0.920000,0.418840
-0.910000,0.414387
-0.900000,0.409908
-0.890000,0.405425
-0.880000,0.400938
-0.870000,0.396446
-0.860000,0.391953
-0.850000,0.387458
-0.840000,0.382978
-0.830000,0.378482
-0.820000,0.373989
-0.810000,0.369501
-0.800000,0.365023
-0.790000,0.360532
-0.780000,0.356037
-0.770000,0.351551
-0.760000,0.347048
-0.750000,0.342546
-0.740000,0.338038
-0.730000,0.333521
-0.720000,0.329013
-0.710000,0.324524
-0.700000,0.320013
-0.690000,0.315492
-0.680000,0.310967
-0.670000,0.306438
-0.660000,0.301919
-0.650000,0.297389
-0.640000,0.292853
-0.630000,0.288314
-0.620000,0.283779
-0.610000,0.279254
-0.600000,0.274720
-0.590000,0.270183
-0.580000,0.265662
-0.570000,0.261130
-0.560000,0.256607
-0.550000,0.252068
-0.540000,0.247523
-0.530000,0.242973
-0.520000,0.238419
-0.510000,0.233863
-0.500000,0.229306
-0.490000,0.224750
-0.480000,0.220195
-0.470000,0.215637
-0.460000,0.211075
-0.450000,0.206510
-0.440000,0.201959
-0.430000,0.197408
-0.420000,0.192850
-0.410000,0.188285
-0.400000,0.183717
-0.390000,0.179153
-0.380000,0.174581
-0.370000,0.170007
-0.360000,0.165429
-0.350000,0.160852
-0.340000,0.156272
-0.330000,0.151690
-0.320000,0.147106
-0.310000,0.142529
-0.300000,0.137946
-0.290000,0.133360
-0.280000,0.128772
-0.270000,0.124183
-0.260000,0.119595
-0.250000,0.115005
-0.240000,0.110413
-0.230000,0.105822
-0.220000,0.101229
-0.210000,0.096635
-0.200000,0.092039
-0.190000,0.087442
-0.180000,0.082844
-0.170000,0.078246
-0.160000,0.073647
-0.150000,0.069048
-0.140000,0.064448
-0.130000,0.059847
-0.120000,0.055245
-0.110000,0.050643
-0.100000,0.046041
-0.090000,0.041438
-0.080000,0.036835
-0.070000,0.032231
-0.060000,0.027628
-0.050000,0.023024
-0.040000,0.018419
-0.030000,0.013815
-0.020000,0.009210
-0.010000,0.004605
0.000000,0.000000
0.010000,0.004605
0.020000,0.009210
0.030000,0.013815
0.040000,0.018420
0.050000,0.023024
0.060000,0.027628
0.070000,0.032232
0.080000,0.036835
0.090000,0.041438
0.100000,0.046041
0.110000,0.050644
0.120000,0.055246
0.130000,0.059847
0.140000,0.064448
0.150000,0.069048
0.160000,0.073648
0.170000,0.078247
0.180000,0.082845
0.190000,0.087443
0.200000,0.092039
0.210000,0.096635
0.220000,0.101230
0.230000,0.105823
0.240000,0.110413
0.250000,0.115005
0.260000,0.119596
0.270000,0.124183
0.280000,0.128772
0.290000,0.133360
0.300000,0.137946
0.310000,0.142530
0.320000,0.147107
0.330000,0.151690
0.340000,0.156272
0.350000,0.160852
0.360000,0.165430
0.370000,0.170007
0.380000,0.174582
0.390000,0.179153
0.400000,0.183717
0.410000,0.188285
0.420000,0.192850
0.430000,0.197409
0.440000,0.201960
0.450000,0.206511
0.460000,0.211075
0.470000,0.215638
0.480000,0.220196
0.490000,0.224750
0.500000,0.229306
0.510000,0.233863
0.520000,0.238420
0.530000,0.242973
0.540000,0.247523
0.550000,0.252068
0.560000,0.256607
0.570000,0.261131
0.580000,0.265663
0.590000,0.270183
0.600000,0.274721
0.610000,0.279254
0.620000,0.283779
0.630000,0.288315
0.640000,0.292854
0.650000,0.297389
0.660000,0.301920
0.670000,0.306439
0.680000,0.310967
0.690000,0.315493
0.700000,0.320013
0.710000,0.324524
0.720000,0.329013
0.730000,0.333522
0.740000,0.338039
0.750000,0.342547
0.760000,0.347049
0.770000,0.351551
0.780000,0.356037
0.790000,0.360532
0.800000,0.365023
0.810000,0.369501
0.820000,0.373989
0.830000,0.378482
0.840000,0.382979
0.850000,0.387459
0.860000,0.391954
0.870000,0.396446
0.880000,0.400938
0.890000,0.405425
0.900000,0.409909
0.910000,0.414388
0.920000,0.418840
0.930000,0.423305
0.940000,0.427780
0.950000,0.432249
0.960000,0.436702
0.970000,0.441166
0.980000,0.445611
0.990000,0.450050
1.000000,0.454520
