energy,flux
0.000000,0.000000
0.200000,0.261504
0.400000,0.028709
0.600000,0.006862
0.800000,0.006010
1.000000,0.005120
1.200000,0.004327
1.400000,0.003684
1.600000,0.003157
1.800000,0.002711
2.000000,0.002329
2.200000,0.002014
2.400000,0.001735
2.600000,0.001494
2.800000,0.001329
3.000000,0.001109
3.200000,0.000984
3.400000,0.000876
3.600000,0.000737
3.800000,0.000613
4.000000,0.000557
4.200000,0.000497
4.400000,0.000435
4.600000,0.000373
4.800000,0.000312
5.000000,0.000258
5.200000,0.000218
5.400000,0.000196
5.600000,0.000176
5.800000,0.000157
6.000000,0.000138
6.200000,0.000122
6.400000,0.000105
6.600000,0.000090
6.800000,0.000077
7.000000,0.000065
7.200000,0.000053
7.400000,0.000044
7.600000,0.000035
7.800000,0.000028
8.000000,0.000022
8.200000,0.000017
8.400000,0.000013
8.600000,0.000009
8.800000,0.000006
9.000000,0.000004
9.200000,0.000003
9.400000,0.000002
9.600000,0.000001
9.800000,0.000001
10.000000,0.000000
10.200000,0.000000
10.400000,0.000000
10.600000,0.000000
10.800000,0.000000
11.000000,0.000000
11.200000,0.000000
11.400000,0.000000
11.600000,0.000000
11.800000,0.000000
12.000000,0.000000
12.200000,0.000000
12.400000,0.000000
12.600000,0.000000
12.800000,0.000000
13.000000,0.000000
13.200000,0.000000
13.400000,0.000000
13.600000,0.000000
13.800000,0.000000
14.000000,0.000000
14.200000,0.000000
14.400000,0.000000
14.600000,0.000000
14.800000,0.000000
15.000000,0.000000
15.200000,0.000000
15.400000,0.000000
15.600000,0.000000
15.800000,0.000000
