energy,flux
0.000000,0.000000
0.200000,4220.273000
0.400000,14313.764000
0.600000,29893.553000
0.800000,50097.036000
1.000000,74081.524000
1.200000,101331.503000
1.400000,131247.247000
1.600000,163281.947000
1.800000,196935.452000
2.000000,231770.770000
2.200000,267406.671000
2.400000,303456.235000
2.600000,339587.166000
2.800000,375479.117000
3.000000,410852.709000
3.200000,445424.011000
3.400000,478944.370000
3.600000,511196.997000
3.800000,541980.466000
4.000000,571126.922000
4.200000,580224.427641
4.400000,597889.890262
4.600000,615260.053497
4.800000,631449.336481
5.000000,646071.300360
5.200000,658916.114780
5.400000,669842.942814
5.600000,678750.011320
5.800000,685572.358321
6.000000,690276.877586
6.200000,692846.855065
6.400000,693276.627401
6.600000,691575.487858
6.800000,687770.450387
7.000000,681896.222735
7.200000,674000.567546
7.400000,664144.525666
7.600000,652388.661414
7.800000,638811.166837
8.000000,623503.552913
8.200000,606557.566666
8.400000,588073.981839
8.600000,568167.212653
8.800000,546954.890543
9.000000,524558.883622
9.200000,501109.940009
9.400000,476741.452638
9.600000,451597.211704
9.800000,425821.558278
10.000000,399569.205356
10.200000,372994.886721
10.400000,346250.777523
10.600000,319497.343071
10.800000,292897.133164
11.000000,266613.748980
11.200000,240807.200623
11.400000,215640.617457
11.600000,191269.417232
11.800000,167852.140468
12.000000,145537.562409
12.200000,124472.946814
12.400000,104796.318747
12.600000,86634.926587
12.800000,70104.734415
13.000000,55299.101656
13.200000,42328.950408
13.400000,31258.924344
13.600000,22108.964004
13.800000,14878.516300
14.000000,9483.260259
14.200000,5725.832496
14.400000,3292.285725
14.600000,1818.483954
14.800000,968.785887
15.000000,495.136481
15.200000,239.573194
15.400000,107.437055
15.600000,43.690194
15.800000,15.418609
