energy,flux
0.000000,0.000000
0.200000,602.764949
0.400000,2348.573446
0.600000,5143.692723
0.800000,8894.383635
1.000000,13506.896351
1.200000,18887.461905
1.400000,24942.273565
1.600000,31577.437661
1.800000,38698.736105
2.000000,46200.955584
2.200000,53844.641339
2.400000,61035.492401
2.600000,67106.768201
2.800000,71637.281485
3.000000,74426.644487
3.200000,75564.581234
3.400000,75137.603779
3.600000,73474.548436
3.800000,70811.016653
4.000000,67449.324204
4.200000,63260.047184
4.400000,58904.763982
4.600000,54566.957197
4.800000,50229.727952
5.000000,45945.757467
5.200000,41779.523787
5.400000,37661.634995
5.600000,33654.026106
5.800000,29801.017868
6.000000,26104.232822
6.200000,22898.219544
6.400000,19893.511623
6.600000,17119.190812
6.800000,14726.782699
7.000000,12484.029880
7.200000,10605.515109
7.400000,8859.313997
7.600000,7421.410436
7.800000,6128.654013
8.000000,5023.582602
8.200000,4086.435142
8.400000,3280.366939
8.600000,2621.587822
8.800000,2067.182212
9.000000,1608.540086
9.200000,1262.814372
9.400000,943.111312
9.600000,717.165008
9.800000,523.333489
10.000000,389.179209
10.200000,273.740920
10.400000,187.733953
10.600000,125.956285
10.800000,86.561816
11.000000,60.284769
11.200000,37.732525
11.400000,22.880707
11.600000,13.171657
11.800000,7.357167
12.000000,4.564675
12.200000,2.598772
12.400000,1.356130
12.600000,0.664081
12.800000,0.303572
13.000000,0.134954
13.200000,0.054770
13.400000,0.029297
13.600000,0.011229
13.800000,0.002918
14.000000,0.000000
14.200000,0.000000
14.400000,0.000000
14.600000,0.000000
14.800000,0.000000
15.000000,0.000000
15.200000,0.000000
15.400000,0.000000
15.600000,0.000000
15.800000,0.000000
