energy,flux
0.000000,0.000000
0.200000,24971.494771
0.400000,96103.672385
0.600000,207673.162644
0.800000,348490.976698
1.000000,476312.076240
1.200000,563542.535890
1.400000,612053.818207
1.600000,630806.141456
1.800000,628641.502154
2.000000,612651.568016
2.200000,586913.885662
2.400000,555146.043352
2.600000,521294.819499
2.800000,486808.235758
3.000000,452105.084240
3.200000,417773.760439
3.400000,383322.884190
3.600000,349970.917932
3.800000,317786.910218
4.000000,288007.252254
4.200000,259533.915716
4.400000,233478.942647
4.600000,209932.591039
4.800000,187776.411755
5.000000,166908.732765
5.200000,148278.463478
5.400000,131252.605388
5.600000,116215.800635
5.800000,102369.886539
6.000000,89566.283164
6.200000,78165.882381
6.400000,67927.109184
6.600000,59223.376179
6.800000,51163.122384
7.000000,43710.140809
7.200000,37524.660977
7.400000,31863.922887
7.600000,27331.445246
7.800000,22963.835543
8.000000,19442.489503
8.200000,16315.973930
8.400000,13507.249168
8.600000,11105.040895
8.800000,9130.210195
9.000000,7429.009086
9.200000,5996.941886
9.400000,4844.863732
9.600000,3888.301536
9.800000,3076.766070
10.000000,2425.145320
10.200000,1862.272803
10.400000,1419.615377
10.600000,1079.172538
10.800000,807.520368
11.000000,596.858095
11.200000,426.144853
11.400000,302.027395
11.600000,211.599067
11.800000,143.988121
12.000000,94.342441
12.200000,61.291093
12.400000,38.363635
12.600000,23.039852
12.800000,13.396532
13.000000,7.472159
13.200000,4.016885
13.400000,2.079859
13.600000,1.028895
13.800000,0.481467
14.000000,0.209406
14.200000,0.081965
14.400000,0.027178
14.600000,0.006301
14.800000,0.000000
15.000000,0.000000
15.200000,0.000000
15.400000,0.000000
15.600000,0.000000
15.800000,0.000000
