energy,flux
0.000000,0.000000
0.200000,4220.273000
0.400000,14313.764000
0.600000,29893.553000
0.800000,50097.036000
1.000000,74081.524000
1.200000,101331.503000
1.400000,131247.247000
1.600000,163281.947000
1.800000,196935.452000
2.000000,231770.770000
2.200000,267406.671000
2.400000,303456.235000
2.600000,339587.166000
2.800000,375479.117000
3.000000,410852.709000
3.200000,445424.011000
3.400000,478944.370000
3.600000,511196.997000
3.800000,541980.466000
4.000000,571126.922000
4.200000,598472.493000
4.400000,623880.619000
4.600000,647220.999000
4.800000,668396.334000
5.000000,687309.894000
5.200000,703892.830000
5.400000,718083.121000
5.600000,729827.281000
5.800000,739092.877000
6.000000,745870.805000
6.200000,750160.882013
6.400000,751975.265228
6.600000,751335.195941
6.800000,748279.843667
7.000000,742855.261691
7.200000,735120.607445
7.400000,725148.701619
7.600000,713011.230621
7.800000,698798.659850
8.000000,682615.680892
8.200000,664566.986155
8.400000,644766.941540
8.600000,623344.707233
8.800000,600432.857671
9.000000,576168.519461
9.200000,550698.492292
9.400000,524172.420945
9.600000,496751.330206
9.800000,468596.813925
10.000000,439881.845917
10.200000,410779.400042
10.400000,381459.605218
10.600000,352101.694322
10.800000,322887.176237
11.000000,293998.697857
11.200000,265614.923130
11.400000,237917.929992
11.600000,211081.261468
11.800000,185281.874567
12.000000,160685.915407
12.200000,137457.823136
12.400000,115751.795002
12.600000,95710.079374
12.800000,77462.406745
13.000000,61113.471845
13.200000,46787.315251
13.400000,34556.768007
13.600000,24445.158622
13.800000,16453.055833
14.000000,10488.282237
14.200000,6333.481596
14.400000,3642.135891
14.600000,2011.965658
14.800000,1071.986200
15.000000,547.941978
15.200000,265.151564
15.400000,118.919905
15.600000,48.364554
15.800000,17.069842
