energy,flux
0.000000,0.000000
0.200000,0.000001
0.400000,0.000005
0.600000,0.000011
0.800000,0.000019
1.000000,0.000029
1.200000,0.000041
1.400000,0.000054
1.600000,0.000069
1.800000,0.000085
2.000000,0.000102
2.200000,0.000120
2.400000,0.000139
2.600000,0.000158
2.800000,0.000177
3.000000,0.000197
3.200000,0.000215
3.400000,0.000231
3.600000,0.000241
3.800000,0.000249
4.000000,0.000245
4.200000,0.000240
4.400000,0.000230
4.600000,0.000224
4.800000,0.000209
5.000000,0.000186
5.200000,0.000171
5.400000,0.000156
5.600000,0.000141
5.800000,0.000126
6.000000,0.000112
6.200000,0.000098
6.400000,0.000085
6.600000,0.000071
6.800000,0.000059
7.000000,0.000047
7.200000,0.000037
7.400000,0.000030
7.600000,0.000023
7.800000,0.000018
8.000000,0.000014
8.200000,0.000011
8.400000,0.000008
8.600000,0.000006
8.800000,0.000004
9.000000,0.000003
9.200000,0.000002
9.400000,0.000002
9.600000,0.000001
9.800000,0.000001
10.000000,0.000000
10.200000,0.000000
10.400000,0.000000
10.600000,0.000000
10.800000,0.000000
11.000000,0.000000
11.200000,0.000000
11.400000,0.000000
11.600000,0.000000
11.800000,0.000000
12.000000,0.000000
12.200000,0.000000
12.400000,0.000000
12.600000,0.000000
12.800000,0.000000
13.000000,0.000000
13.200000,0.000000
13.400000,0.000000
13.600000,0.000000
13.800000,0.000000
14.000000,0.000000
14.200000,0.000000
14.400000,0.000000
14.600000,0.000000
14.800000,0.000000
15.000000,0.000000
15.200000,0.000000
15.400000,0.000000
15.600000,0.000000
15.800000,0.000000
