energy,flux
0.000000,0.000000
0.200000,0.000000
0.400000,0.000000
0.600000,0.000000
0.800000,0.000000
1.000000,0.000000
1.200000,0.000000
1.400000,0.000000
1.600000,0.000000
1.800000,0.000150
2.000000,0.001239
2.200000,0.005218
2.400000,0.012014
2.600000,0.027556
2.800000,0.055337
3.000000,0.098023
3.200000,0.153360
3.400000,0.233175
3.600000,0.337317
3.800000,0.457189
4.000000,0.582993
4.200000,0.725465
4.400000,0.849467
4.600000,1.004629
4.800000,1.185770
5.000000,1.325465
5.200000,1.462982
5.400000,1.552483
5.600000,1.662331
5.800000,1.704303
6.000000,1.768200
6.200000,1.779650
6.400000,1.783555
6.600000,1.740081
6.800000,1.683017
7.000000,1.619158
7.200000,1.538329
7.400000,1.431597
7.600000,1.321523
7.800000,1.209872
8.000000,1.089925
8.200000,0.973957
8.400000,0.873682
8.600000,0.771943
8.800000,0.677224
9.000000,0.608184
9.200000,0.525929
9.400000,0.453697
9.600000,0.393592
9.800000,0.334050
10.000000,0.291665
10.200000,0.249168
10.400000,0.206745
10.600000,0.169240
10.800000,0.136691
11.000000,0.111988
11.200000,0.089576
11.400000,0.071856
11.600000,0.058303
11.800000,0.042047
12.000000,0.030559
12.200000,0.023464
12.400000,0.015843
12.600000,0.012014
12.800000,0.006382
13.000000,0.005744
13.200000,0.002741
13.400000,0.002140
13.600000,0.001389
13.800000,0.000526
14.000000,0.000263
14.200000,0.000150
14.400000,0.000038
14.600000,0.000000
14.800000,0.000000
15.000000,0.000038
15.200000,0.000000
15.400000,0.000000
15.600000,0.000000
15.800000,0.000000
