energy,flux
0.000000,0.000000
0.200000,0.000000
0.400000,0.000000
0.600000,0.000000
0.800000,0.000000
1.000000,0.000000
1.200000,0.000000
1.400000,0.000000
1.600000,0.000000
1.800000,0.000000
2.000000,0.000000
2.200000,0.000000
2.400000,0.000000
2.600000,0.000000
2.800000,0.000000
3.000000,0.000159
3.200000,0.001663
3.400000,0.007081
3.600000,0.018993
3.800000,0.036957
4.000000,0.059509
4.200000,0.084837
4.400000,0.113186
4.600000,0.143206
4.800000,0.175459
5.000000,0.209813
5.200000,0.245940
5.400000,0.283921
5.600000,0.323377
5.800000,0.364401
6.000000,0.406520
6.200000,0.450300
6.400000,0.495430
6.600000,0.540958
6.800000,0.587824
7.000000,0.635386
7.200000,0.683459
7.400000,0.732475
7.600000,0.781330
7.800000,0.831212
8.000000,0.880934
8.200000,0.930691
8.400000,0.981022
8.600000,1.030723
8.800000,1.080354
9.000000,1.129331
9.200000,1.176783
9.400000,1.223190
9.600000,1.265489
9.800000,1.303496
10.000000,1.335267
10.200000,1.354166
10.400000,1.363039
10.600000,1.357356
10.800000,1.330746
11.000000,1.289943
11.200000,1.233823
11.400000,1.156652
11.600000,1.069354
11.800000,0.973298
12.000000,0.869424
12.200000,0.761318
12.400000,0.654100
12.600000,0.549963
12.800000,0.451107
13.000000,0.359733
13.200000,0.278156
13.400000,0.207711
13.600000,0.149222
13.800000,0.102649
14.000000,0.067276
14.200000,0.041765
14.400000,0.024370
14.600000,0.013215
14.800000,0.006547
15.000000,0.002883
15.200000,0.001074
15.400000,0.000306
15.600000,0.000050
15.800000,0.000000
