energy,flux
0.000000,0.000000
0.200000,0.000000
0.400000,0.000000
0.600000,0.000000
0.800000,0.000000
1.000000,0.000000
1.200000,0.000000
1.400000,0.000024
1.600000,0.007615
1.800000,0.071540
2.000000,0.311984
2.200000,0.929382
2.400000,2.128724
2.600000,4.304912
2.800000,7.623503
3.000000,12.435266
3.200000,19.242202
3.400000,28.125618
3.600000,39.199552
3.800000,51.237314
4.000000,64.071636
4.200000,77.657216
4.400000,91.811031
4.600000,106.457506
4.800000,121.504750
5.000000,136.839763
5.200000,148.681875
5.400000,158.395944
5.600000,166.621995
5.800000,171.435817
6.000000,174.614953
6.200000,174.925176
6.400000,173.040331
6.600000,169.471262
6.800000,163.022166
7.000000,155.427330
7.200000,146.494361
7.400000,135.863040
7.600000,124.795793
7.800000,113.551544
8.000000,102.118389
8.200000,91.155556
8.400000,81.131890
8.600000,71.964154
8.800000,63.496458
9.000000,55.550936
9.200000,48.393610
9.400000,41.940837
9.600000,36.149153
9.800000,30.952668
10.000000,26.218210
10.200000,22.019422
10.400000,18.338036
10.600000,15.130507
10.800000,12.356392
11.000000,9.975707
11.200000,7.945293
11.400000,6.213373
11.600000,4.774423
11.800000,3.601528
12.000000,2.661203
12.200000,1.920858
12.400000,1.350694
12.600000,0.922292
12.800000,0.609709
13.000000,0.389136
13.200000,0.238972
13.400000,0.141083
13.600000,0.080221
13.800000,0.043930
14.000000,0.023157
14.200000,0.011722
14.400000,0.005664
14.600000,0.002583
14.800000,0.001089
15.000000,0.000410
15.200000,0.000133
15.400000,0.000034
15.600000,0.000005
15.800000,0.000000
