energy,flux
0.000000,0.000000
0.200000,0.000000
0.400000,0.000000
0.600000,0.000000
0.800000,0.000000
1.000000,0.000000
1.200000,0.000000
1.400000,0.000000
1.600000,0.000000
1.800000,0.000000
2.000000,0.000000
2.200000,0.000000
2.400000,0.000000
2.600000,0.000000
2.800000,0.000000
3.000000,0.000000
3.200000,0.000000
3.400000,0.000000
3.600000,0.000000
3.800000,0.000000
4.000000,0.000000
4.200000,182480.653589
4.400000,259907.287380
4.600000,319609.455026
4.800000,369469.975188
5.000000,412385.936400
5.200000,449767.152201
5.400000,482401.781855
5.600000,510772.696804
5.800000,535205.186793
6.000000,555939.274137
6.200000,573159.169345
6.400000,587012.545991
6.600000,597628.381419
6.800000,605129.146127
7.000000,609628.652652
7.200000,611241.034544
7.400000,610084.203342
7.600000,606269.455856
7.800000,599919.581625
8.000000,591166.430872
8.200000,580139.493341
8.400000,566974.721612
8.600000,551819.603469
8.800000,534823.594567
9.000000,516139.303781
9.200000,495927.269906
9.400000,474350.033619
9.600000,451579.962960
9.800000,427789.607222
10.000000,403161.596443
10.200000,377878.352791
10.400000,352119.434769
10.600000,326072.539292
10.800000,299927.278360
11.000000,273874.130195
11.200000,248099.653771
11.400000,222793.355429
11.600000,198136.507679
11.800000,174313.295324
12.000000,151497.445907
12.200000,129860.731861
12.400000,109564.892531
12.600000,90759.944130
12.800000,73583.565854
13.000000,58149.123445
13.200000,44587.815924
13.400000,32981.526563
13.600000,23364.139963
13.800000,15746.876995
14.000000,10051.167405
14.200000,6077.065043
14.400000,3498.832747
14.600000,1935.000456
14.800000,1032.101126
15.000000,528.105192
15.200000,255.808058
15.400000,114.839455
15.600000,46.748063
15.800000,16.513915
