costheta,flux
-1.010000,0.000000
-1.000000,0.127614
-0.990000,0.128863
-0.980000,0.129969
-0.970000,0.130972
-0.960000,0.131991
-0.950000,0.133084
-0.940000,0.134210
-0.930000,0.135340
-0.920000,0.136381
-0.910000,0.137472
-0.900000,0.138545
-0.890000,0.139777
-0.880000,0.141080
-0.870000,0.142248
-0.860000,0.143531
-0.850000,0.144825
-0.840000,0.145693
-0.830000,0.147028
-0.820000,0.148308
-0.810000,0.149778
-0.800000,0.151049
-0.790000,0.152521
-0.780000,0.153615
-0.770000,0.155080
-0.760000,0.156511
-0.750000,0.157918
-0.740000,0.159101
-0.730000,0.160643
-0.720000,0.162326
-0.710000,0.163779
-0.700000,0.165271
-0.690000,0.166804
-0.680000,0.168203
-0.670000,0.169678
-0.660000,0.171398
-0.650000,0.173058
-0.640000,0.174875
-0.630000,0.176304
-0.620000,0.178146
-0.610000,0.179961
-0.600000,0.181437
-0.590000,0.183089
-0.580000,0.185047
-0.570000,0.187118
-0.560000,0.188903
-0.550000,0.190566
-0.540000,0.192442
-0.530000,0.194512
-0.520000,0.196402
-0.510000,0.198496
-0.500000,0.200609
-0.490000,0.202577
-0.480000,0.204846
-0.470000,0.206751
-0.460000,0.208793
-0.450000,0.211126
-0.440000,0.213635
-0.430000,0.215717
-0.420000,0.218051
-0.410000,0.220296
-0.400000,0.222673
-0.390000,0.225202
-0.380000,0.227656
-0.370000,0.230328
-0.360000,0.232655
-0.350000,0.235378
-0.340000,0.237749
-0.330000,0.240865
-0.320000,0.243583
-0.310000,0.246100
-0.300000,0.249192
-0.290000,0.251983
-0.280000,0.254848
-0.270000,0.258005
-0.260000,0.261166
-0.250000,0.264134
-0.240000,0.267176
-0.230000,0.270552
-0.220000,0.273944
-0.210000,0.277211
-0.200000,0.280563
-0.190000,0.284214
-0.180000,0.287658
-0.170000,0.291637
-0.160000,0.294946
-0.150000,0.298807
-0.140000,0.302704
-0.130000,0.306778
-0.120000,0.310554
-0.110000,0.314775
-0.100000,0.318937
-0.090000,0.323174
-0.080000,0.327776
-0.070000,0.331813
-0.060000,0.336614
-0.050000,0.341201
-0.040000,0.346065
-0.030000,0.350715
-0.020000,0.355585
-0.010000,0.360887
0.000000,0.366195
0.010000,0.371284
0.020000,0.376956
0.030000,0.382391
0.040000,0.388128
0.050000,0.393778
0.060000,0.399714
0.070000,0.406163
0.080000,0.411965
0.090000,0.418676
0.100000,0.425174
0.110000,0.432078
0.120000,0.438782
0.130000,0.445944
0.140000,0.453114
0.150000,0.460643
0.160000,0.468098
0.170000,0.476174
0.180000,0.484111
0.190000,0.492474
0.200000,0.500739
0.210000,0.509490
0.220000,0.518519
0.230000,0.527677
0.240000,0.537619
0.250000,0.547084
0.260000,0.557239
0.270000,0.567630
0.280000,0.578072
0.290000,0.589323
0.300000,0.600417
0.310000,0.611896
0.320000,0.624126
0.330000,0.636364
0.340000,0.649091
0.350000,0.662607
0.360000,0.676377
0.370000,0.690270
0.380000,0.704774
0.390000,0.719913
0.400000,0.735516
0.410000,0.751717
0.420000,0.768578
0.430000,0.785546
0.440000,0.803437
0.450000,0.822338
0.460000,0.841523
0.470000,0.861487
0.480000,0.882521
0.490000,0.903726
0.500000,0.926431
0.510000,0.949738
0.520000,0.974418
0.530000,0.999561
0.540000,1.026068
0.550000,1.053581
0.560000,1.082689
0.570000,1.112802
0.580000,1.144381
0.590000,1.177381
0.600000,1.211915
0.610000,1.247916
0.620000,1.286413
0.630000,1.326291
0.640000,1.368289
0.650000,1.412252
0.660000,1.459131
0.670000,1.508096
0.680000,1.560146
0.690000,1.615122
0.700000,1.673010
0.710000,1.734632
0.720000,1.799923
0.730000,1.869487
0.740000,1.943123
0.750000,2.022230
0.760000,2.106785
0.770000,2.196909
0.780000,2.293877
0.790000,2.397995
0.800000,2.510194
0.810000,2.631139
0.820000,2.762629
0.830000,2.904792
0.840000,3.059609
0.850000,3.228882
0.860000,3.414804
0.870000,3.618836
0.880000,3.844014
0.890000,4.094343
0.900000,4.372818
0.910000,4.684689
0.920000,5.036951
0.930000,5.435183
0.940000,5.890117
0.950000,6.413636
0.960000,7.019741
0.970000,7.728080
0.980000,8.561863
0.990000,9.547130
1.000000,10.703340
1.010000,0.000000
