energy,flux
0.000000,0.000000
0.500000,21482.595000
1.000000,74081.524000
1.500000,147026.755000
2.000000,231770.770000
2.500000,321533.365000
3.000000,410852.709000
3.500000,495243.375000
4.000000,571126.922000
4.500000,635814.825000
5.000000,687309.894000
5.500000,724263.599000
6.000000,745870.805000
6.500000,751963.657000
7.000000,742859.088000
7.500000,719349.715000
8.000000,682620.196000
8.500000,634255.196000
9.000000,576172.814000
9.500000,510567.683000
10.000000,439885.365000
10.500000,366777.400000
11.000000,294001.162000
11.500000,224382.874000
12.000000,160687.307000
12.500000,105514.791000
13.000000,61114.014000
13.500000,29234.651000
14.000000,10488.377000
14.500000,2719.820000
15.000000,547.947000
15.500000,76.815000
