energy,flux
0.000000,0.000000
0.200000,4166.141032
0.400000,16149.421919
0.600000,35176.920586
0.800000,60475.141476
1.000000,91268.876451
1.200000,126761.750135
1.400000,165163.335917
1.600000,201199.291805
1.800000,230058.131909
2.000000,249897.997635
2.200000,261178.143297
2.400000,264929.061742
2.600000,262451.164899
2.800000,255561.754878
3.000000,245157.751722
3.200000,232597.194544
3.400000,218149.967162
3.600000,203591.829697
3.800000,188991.721844
4.000000,174459.153754
4.200000,160062.977709
4.400000,145928.829446
4.600000,132106.033490
4.800000,118625.548658
5.000000,106303.810452
5.200000,94861.035390
5.400000,84057.108211
5.600000,74387.436683
5.800000,65338.259149
6.000000,57295.074697
6.200000,49906.909469
6.400000,43316.878218
6.600000,37433.221101
6.800000,32127.686435
7.000000,27458.606222
7.200000,23381.957093
7.400000,19760.329856
7.600000,16577.670497
7.800000,13884.372760
8.000000,11532.671029
8.200000,9479.334305
8.400000,7748.413836
8.600000,6292.626755
8.800000,5079.281795
9.000000,4050.040390
9.200000,3204.685537
9.400000,2510.237245
9.600000,1932.286812
9.800000,1483.363005
10.000000,1117.163282
10.200000,824.969793
10.400000,603.279556
10.600000,437.166137
10.800000,304.234356
11.000000,206.798873
11.200000,143.101967
11.400000,95.856728
11.600000,61.886663
11.800000,38.697346
12.000000,23.320289
12.200000,13.466854
12.400000,7.571487
12.600000,4.049928
12.800000,2.107536
13.000000,1.052675
13.200000,0.503006
13.400000,0.247253
13.600000,0.115996
13.800000,0.049476
14.000000,0.018806
14.200000,0.005755
14.400000,0.001342
14.600000,0.000000
14.800000,0.000000
15.000000,0.000000
15.200000,0.000000
15.400000,0.000000
15.600000,0.000000
15.800000,0.000000
